"time","singleChiller.singleChiller.mov.P","singleChiller.singleChiller.chillerWithHex2_1.chi.P","singleChiller.singleChiller.mov1.P","supplyTemp","returnTemp","storageTankWithPump.mov.P","total_power","total_energy"
0,0,1548233.90474615,0,293.15,288.15,0,1548233.90474615,0
5,293.3906232405472,1509185.069902339,282.8840463663101,293.15,288.4811063821123,287.5995271734477,1510048.944099119,7645707.122113174
10,2347.125025985963,0.001714438738847345,2369.063429539719,290.5213187807126,288.7898678362272,2358.07661920996,7074.266789174382,11438515.14933391
15,7921.546532872787,0.001489383120134147,8056.277818101713,290.8059864071343,289.0334420039123,7993.304627443787,23971.13046780141,11516128.64247635
20,18776.9978758059,0.001194872595074821,19126.10698204147,291.2643935784305,289.2906927160994,18968.61953971945,56871.72559243941,11718235.78262695
25,36673.82105163902,0.000936040732482592,37368.19482213389,291.7410949341553,289.5650744544735,37066.18335556609,111108.2001653797,12138185.5970215
30,63276.01333986925,0.0007522651379126052,64466.27990273426,292.1413049672452,289.8558914760361,63969.38692872411,191711.6809235928,12895235.29974393
35,63372.34823679359,0.0006487436899730118,64526.64658984517,292.410876382127,290.1603121269285,64066.82176167175,191965.8172370542,13854429.04514555
40,63372.34268624322,0.0005991026529837614,64486.70387013345,292.5725371606126,290.4752903491126,64066.82398659678,191925.8711420761,14814158.26609337
45,63372.33359026862,0.0005772199439383528,64444.5807760673,292.6703611072353,290.7996291316495,64066.82395982714,191883.738903383,15773682.29120702
50,63372.32280105948,0.0005683444044406322,64400.2029132069,292.7336235236569,291.1334958234418,64066.82387514447,191839.3501577553,16732990.01385987
55,63372.31002740154,0.0005653025340982349,64353.50196100293,292.7781768621578,291.4782899040183,64066.82386094296,191792.63641465,17692069.98029088
60,63372.29465301044,0.0005648462731711496,64304.41996629632,292.8119071180927,291.836384267916,64066.82386102662,191743.5390451796,18650910.41894045
65,63372.27589789414,0.0005654989467760121,64252.91218479766,292.8388255383941,292.2111153101389,64066.82386098534,191692.0125091761,19609499.29782634
70,63372.25269454855,0.0005666268871644864,64198.94983566993,292.8609074551389,292.6070117836932,64066.82386098098,191638.0269578263,20567824.39649384
75,63372.22351859913,0.0005679011755355755,64142.52296973331,292.8794042143703,293.030172292599,64066.82386098205,191581.5709172157,21525873.39118145
80,63372.18613333776,0.000569177312973823,64083.64336804835,292.8950384114273,293.4898293412975,64066.82386098221,191522.6539315456,22483633.95330335
85,63372.13715041831,0.0005703564895890166,64022.34735966178,292.9085030205798,293.9977533503393,64066.82386098196,191461.3089414185,23441093.86048576
90,63372.07123977241,0.0005714212976718932,63958.69847621711,292.9202231051133,294.5715042088387,64066.82386098196,191397.5941483928,24398241.11821029
95,63371.97962939319,0.0005724094291966275,63892.78993434511,292.9303980722419,295.24265708873,64066.82386098196,191331.5939971297,25355064.0885741
100,63371.84706447748,0.0005733779689946622,63824.74715328146,292.9392315042286,296.0610770708314,64066.82386098196,191263.4186521189,26311551.62019722
105,63371.64512954791,0.0005744437590957057,63754.73099442472,292.9464359161794,296.4019926827282,64066.82386098196,191193.2005593984,27267693.16822601
110,63371.31602668052,0.0005758702032402489,63682.94274329958,292.9512867739617,296.290455652592,64066.82386098196,191121.0832068323,28223478.87764159
115,63370.72759720793,0.0005777755312128894,63609.62747257382,292.9544062382396,296.181496485153,64066.82386098196,191047.1795085392,29178899.53443002
120,63369.54192238994,0.0005808583836604853,63536.01651459168,292.9549998108236,296.0757499417734,64066.82386098196,190972.382878822,30133948.44039842
125,63369.52028780905,0.000581919243549127,63534.96275386272,292.9546467797396,295.9737722022497,64066.82386098196,190971.307484573,31088807.66630691
130,63369.52028779707,0.0005827189668059555,63534.96275224558,292.9559998621355,295.8750903235826,64066.82386098196,190971.3074837436,32043664.2037277
135,63369.52028778476,0.000583348152740164,63534.9627505821,292.9581013748565,295.7794854571809,64066.82386098196,190971.307482697,32998520.7411438
140,63369.52028778293,0.0005838360017636939,63534.96275033531,292.9606391586495,295.6870297667007,64066.82386098196,190971.3074829362,33953377.27855788
145,63369.52028778297,0.0005842130536232176,63534.96275034247,292.9633652629586,295.5976681987601,64066.82386098196,190971.3074833204,34908233.81597352
150,63369.52028778301,0.0005845030544880531,63534.96275034561,292.9661425634666,295.5113102064159,64066.82386098196,190971.3074836136,35863090.35339086
155,63369.52028778306,0.0005847288213128274,63534.96275034722,292.9688995692816,295.427810974322,64066.82386098196,190971.3074838411,36817946.89080949
160,63369.52028778302,0.0005848913908127505,63534.96275034678,292.9716324158182,295.3471646261426,64066.82386098196,190971.3074840032,37772803.4282291
165,63369.52028778301,0.0005850015778745649,63534.96275034572,292.9743315816791,295.2692654190018,64066.82386098196,190971.3074841123,38727659.96564939
170,63369.52028778301,0.00058507081413864,63534.96275034585,292.9769882908224,295.1939997245765,64066.82386098196,190971.3074841816,39682516.50307012
175,63369.520287783,0.0005851045174635553,63534.96275034545,292.9795865501822,295.1213302665928,64066.82386098196,190971.307484215,40637373.04049111
180,63369.520287783,0.0005851073608821616,63534.96275034538,292.9821510824971,295.0511300088663,64066.82386098196,190971.3074842177,41592229.5779122
185,63369.520287783,0.0005850870980550906,63534.96275034537,292.9846699321436,294.983329041647,64066.82386098196,190971.3074841974,42547086.11533324
190,63369.520287783,0.0005850487929677206,63534.9627503454,292.9871435009607,294.9178454634172,64066.82386098196,190971.3074841592,43501942.65275413
195,63369.520287783,0.0005849924963118132,63534.9627503454,292.9895829159074,294.8545987406275,64066.82386098196,190971.3074841029,44456799.19017478
200,63369.520287783,0.0005849252113598901,63534.9627503454,292.991985564965,294.7935042539518,64066.82386098196,190971.3074840356,45411655.72759513
205,63369.520287783,0.0005848474064229401,63534.9627503454,292.9943526170505,294.7344956780564,64066.82386098196,190971.3074839578,46366512.26501511
210,63369.520287783,0.0005847606382490028,63534.9627503454,292.9966854249726,294.6775023528426,64066.82386098196,190971.307483871,47321368.80243468
215,63369.52028778298,0.0005846687640797015,63534.9627503454,292.9989856422769,294.6224447850562,64066.82386098196,190971.3074837791,48276225.33985381
220,63369.52028778298,0.0005845701494728775,63534.9627503454,293.001251015304,294.5692764715745,64066.82386098196,190971.3074836805,49231081.87727246
225,63369.520287783,0.0005844678188606201,63534.9627503454,293.003483274171,294.5179204251652,64066.82386098196,190971.3074835782,50185938.41469061
230,63369.520287783,0.0005843638035901388,63534.9627503454,293.0056834377241,294.4681791135383,64066.82386098196,190971.3074834742,51140794.95210823
235,63369.520287783,0.000584258537096437,63534.9627503454,293.0078520183958,294.419912994699,64066.82386098196,190971.3074833689,52095651.48952534
240,63369.520287783,0.0005841511870248694,63534.9627503454,293.00998832851,294.3732922774842,64066.82386098196,190971.3074832616,53050508.02694192
245,63369.520287783,0.0005840417528526008,63534.9627503454,293.0120923680668,294.3283169618938,64066.82386098196,190971.3074831521,54005364.56435795
250,63369.520287783,0.0005839302340577466,63534.9627503454,293.0141641370662,294.2849870479279,64066.82386098196,190971.3074830406,54960221.10177343
255,63369.520287783,0.000583822321787547,63534.9627503454,293.0161344303521,294.2430939949634,64066.82386098196,190971.3074829327,55915077.63918836
260,63369.520287783,0.0005837396818832643,63534.9627503454,293.0177397925427,294.2018439149076,64066.82386098196,190971.30748285,56869934.17660282
265,63369.520287783,0.0005836619452081214,63534.9627503454,293.0192278734824,294.161983067948,64066.82386098196,190971.3074827723,57824790.71401688
270,63369.520287783,0.000583589110882575,63534.9627503454,293.0205986731712,294.1235114540846,64066.82386098196,190971.3074826995,58779647.25143056
275,63369.520287783,0.0005835211780989666,63534.9627503454,293.0218521916089,294.0864290733173,64066.82386098196,190971.3074826316,59734503.78884389
280,63369.520287783,644.0439616527652,63534.9627503454,293.0229884287957,294.0507359256463,64066.82386098196,191615.3508607631,60690970.43470237
285,63369.520287783,1315.648288015517,63534.9627503454,293.0240073847315,294.0164320110713,64066.82386098196,192286.9551871259,61650726.1998221
290,63369.520287783,1976.28490964644,63534.9627503454,293.0249090594163,293.9835173295926,64066.82386098196,192947.5918087568,62613812.56731181
295,63369.520287783,2626.582823379473,63534.9627503454,293.0256874906709,293.9518217447118,64066.82386098196,193597.8897224898,63580176.27113993
300,63369.520287783,3270.41694227022,63534.9627503454,293.0263050675496,293.9202719920492,64066.82386098196,194241.7238413806,64549775.30504961
305,63369.520287783,3904.450486003239,63534.9627503454,293.0267947494952,293.8898086008894,64066.82386098196,194875.7573851136,65522569.00811584
310,63369.520287783,4528.707628906941,63534.9627503454,293.0271565365076,293.8604315712321,64066.82386098196,195500.0145280173,66498508.43789867
315,63369.520287783,5143.211840825868,63534.9627503454,293.0273904285867,293.8321409030777,64066.82386098196,196114.5187399362,67477544.77106856
320,63369.520287783,5747.985887575168,63534.9627503454,293.0274964257327,293.8049365964259,64066.82386098196,196719.2927866855,68459629.29988511
325,63369.520287783,6343.051831346036,63534.9627503454,293.0274745279456,293.7788186512769,64066.82386098196,197314.3587304564,69444713.42867796
330,63369.520287783,6928.431031133481,63534.9627503454,293.0273247352252,293.7537870676306,64066.82386098196,197899.7379302439,70432748.6703297
335,63369.520287783,7504.455250622199,63534.9627503454,293.0270788337472,293.7297621074952,64066.82386098196,198475.7621497326,71423687.42052965
340,63369.520287783,8075.07411011016,63534.9627503454,293.0271410654826,293.7057296997406,64066.82386098196,199046.3810092205,72417492.77842703
345,63369.520287783,8636.999756938512,63534.9627503454,293.027176946561,293.682528922099,64066.82386098196,199608.3066560489,73414129.49759021
350,63369.520287783,9190.236277037871,63534.9627503454,293.0271864769826,293.6601597745704,64066.82386098196,200161.5431761482,74413554.1221707
355,63369.520287783,9734.787632707928,63534.9627503454,293.0271696567474,293.6386222571548,64066.82386098196,200706.0945318183,75415723.21644062
360,63369.520287783,10270.65766263251,63534.9627503454,293.0271264858553,293.6179163698522,64066.82386098196,201241.9645617429,76420593.36417452
365,63369.520287783,10797.85008190673,63534.9627503454,293.0270569643063,293.5980421126627,64066.82386098196,201769.1569810171,77428121.16803141
370,63369.520287783,11316.3684820365,63534.9627503454,293.0269610921005,293.5789994855861,64066.82386098196,202287.6753811469,78438263.24893682
375,63369.520287783,11826.2810779827,63534.9627503454,293.0268407392992,293.5607750369246,64066.82386098196,202797.5879770931,79450976.40733242
380,63369.520287783,12331.79004463085,63534.9627503454,293.0268173468414,293.542495219525,64066.82386098196,203303.0969437412,80466228.11963451
385,63369.520287783,12829.57448609106,63534.9627503454,293.0267951349316,293.5248489951857,64066.82386098196,203800.8813852014,81483988.06545687
390,63369.520287783,13319.63414855192,63534.9627503454,293.0267741035698,293.5078363639066,64066.82386098196,204290.9410476623,82504217.62153903
395,63369.520287783,13801.96878511897,63534.9627503454,293.026754252756,293.4914573256878,64066.82386098196,204773.2756842293,83526878.16336876
