"time","coolingLoad","n","Mode","CT_c","CHP_c","CP_c","Chiller_c","Tset","Twb","valveOpen","Val9","Val10","StoragePumpSignal"
0,7000000,1,1,1,1,1,1,293.0264766355844,300.15,0,0,1,1
5,7000000,1,1,1,1,1,1,293.0264766355844,300.15,0,0,1,1
10,7000000,1,1,1,1,1,1,293.0264766355844,300.15,0,0,1,1
15,7000000,1,1,1,1,1,1,293.0264766355844,300.15,0,0,1,1
20,7000000,1,1,1,1,1,1,293.0264766355844,300.15,0,0,1,1
25,7000000,1,1,1,1,1,1,293.0264766355844,300.15,0,0,1,1
30,7000000,1,1,1,1,1,1,293.0264766355844,300.15,0,0,1,1
35,7000000,1,1,1,1,1,1,293.0264766355844,300.15,0,0,1,1
40,7000000,1,1,1,1,1,1,293.0264766355844,300.15,0,0,1,1
45,7000000,1,1,1,1,1,1,293.0264766355844,300.15,0,0,1,1
50,7000000,1,1,1,1,1,1,293.0264766355844,300.15,0,0,1,1
55,7000000,1,1,1,1,1,1,293.0264766355844,300.15,0,0,1,1
60,7000000,1,1,1,1,1,1,293.0264766355844,300.15,0,0,1,1
65,7000000,1,1,1,1,1,1,293.0264766355844,300.15,0,0,1,1
70,7000000,1,1,1,1,1,1,293.0264766355844,300.15,0,0,1,1
75,7000000,1,1,1,1,1,1,293.0264766355844,300.15,0,0,1,1
80,7000000,1,1,1,1,1,1,293.0264766355844,300.15,0,0,1,1
85,7000000,1,1,1,1,1,1,293.0264766355844,300.15,0,0,1,1
90,7000000,1,1,1,1,1,1,293.0264766355844,300.15,0,0,1,1
95,7000000,1,1,1,1,1,1,293.0264766355844,300.15,0,0,1,1
100,7000000,1,1,1,1,1,1,293.0264766355844,300.15,0,0,1,1
105,7000000,1,1,1,1,1,1,293.0264766355844,300.15,0,0,1,1
110,7000000,1,1,1,1,1,1,293.0264766355844,300.15,0,0,1,1
115,7000000,1,1,1,1,1,1,293.0264766355844,300.15,0,0,1,1
120,7000000,1,1,1,1,1,1,293.0264766355844,300.15,0,0,1,1
125,7000000,1,1,1,1,1,1,293.0264766355844,300.15,0,0,1,1
130,7000000,1,1,1,1,1,1,293.0264766355844,300.15,0,0,1,1
135,7000000,1,1,1,1,1,1,293.0264766355844,300.15,0,0,1,1
140,7000000,1,1,1,1,1,1,293.0264766355844,300.15,0,0,1,1
145,7000000,1,1,1,1,1,1,293.0264766355844,300.15,0,0,1,1
150,7000000,1,1,1,1,1,1,293.0264766355844,300.15,0,0,1,1
155,7000000,1,1,1,1,1,1,293.0264766355844,300.15,0,0,1,1
160,7000000,1,1,1,1,1,1,293.0264766355844,300.15,0,0,1,1
