"time","singleChiller.singleChiller.chillerWithHex2_1.chi.P","supplyTemp","returnTemp"
0,1548233.90474615,293.15,288.15
5,1509185.069902339,293.15,288.4811063821123
10,226533.8238324791,290.5204193115225,288.789764641512
15,462939.5787426294,290.7536732471099,289.0325720094517
20,633217.6497288182,291.1355021679228,289.2868671462676
25,774803.4709548949,291.5320512074856,289.5557164035883
30,827635.17606787,291.8757638257904,289.8388824105354
35,732658.6608371662,292.1160982871854,290.1348163508217
40,684347.7362636266,292.2600906915571,290.440638957797
45,660880.7959446269,292.3448385586781,290.7555180548537
50,650063.3879603529,292.3940483245806,291.0798148556934
55,645303.2262774108,292.4219715740193,291.4149115631072
60,643278.9280488881,292.4363769000641,291.7631181930911
65,642390.6783831065,292.441201395059,292.1277091902654
70,641899.3402111925,292.4382194506068,292.5132785115675
75,641510.7837849769,292.4277673751319,292.9255000204036
80,641128.1203581842,292.4093163070948,293.3737877213242
85,640689.214103477,292.3818395918626,293.8693434237408
90,640216.6478266531,292.3432520577446,294.430396319711
95,639774.2002031227,292.2900979472647,295.0883837009441
100,639446.0205652241,292.2168216203005,295.8904575624726
105,639330.1684457442,292.1141051656071,296.2183107761635
110,639618.6721686426,291.9651185050348,296.0813735302493
115,640519.2130986556,291.7364258091641,295.942771340003
120,642643.9675190994,291.3669747092097,295.7991833900892
125,643215.420964217,291.3583258459131,295.653506435217
130,643763.674167041,291.3628962694519,295.5127682697081
135,644243.5079274881,291.3664931102752,295.3767605308502
140,644643.2791512307,291.3696356421633,295.2453218519396
145,644964.3223479756,291.3725572265842,295.1183019563556
150,645214.1823215728,291.3753682284348,294.9955483246871
155,645402.3743468934,291.3781159726011,294.8769140457842
160,645537.5825169922,291.3808252369806,294.7622616233826
165,645628.6356160318,291.3835106676625,294.6514546033728
170,645682.8626028199,291.3861522899488,294.5443690248525
175,645706.9261477217,291.3887561211422,294.4408782353568
180,645706.0749029581,291.3913143139108,294.3408636979668
185,645683.8026860796,291.393830539348,294.244212759568
190,645644.4472582635,291.3963044948859,294.1508104147449
195,645590.3598525919,291.398739955352,294.0605510824515
200,645524.1675988918,291.401138080652,293.9733301353804
205,645448.0682041576,291.4035005374407,293.8890455977431
210,645363.6599438227,291.4058276498535,293.8076022540639
215,645272.4901937507,291.4081200886473,293.7289065076664
220,645175.728823155,291.4103780878815,293.6528690707306
225,645075.0880887242,291.4126024971274,293.5793942004832
230,644970.6954862535,291.4147933961892,293.5084082519091
235,644864.1714046849,291.4169514860627,293.4398164383251
240,644755.841124718,291.4190771883476,293.3735448310688
245,644646.2092902664,291.4211709449246,293.3095164352115
250,644536.0755350204,291.4232332517603,293.2476502072865
255,644425.3289438749,291.4252645872343,293.1878847690329
260,644314.6928497104,291.4272654224254,293.130139603685
265,644203.964860813,291.4292361949945,293.0743645259706
270,644093.5140748679,291.4311773729698,293.0204884943847
275,643983.791203755,291.4330894287141,292.9684374904918
280,643875.048969961,291.4349728146659,292.9181460566405
285,643766.785088663,291.436827870295,292.8695866243798
290,643659.5884294407,291.4386550983311,292.8226768687084
295,643553.6613495147,291.4404549436676,292.7773538625883
300,643448.7754964088,291.4422277365125,292.7335875077144
305,643344.6579748505,291.4439737952162,292.6913510999096
310,643241.7929745993,291.4456936397031,292.6505602345955
315,643140.3123194715,291.4473876960711,292.6111573649434
320,643040.3478515695,291.4490563904183,292.5730849441245
325,642942.031430718,291.4507001488425,292.5362854253099
330,642844.5130374056,291.4523190058977,292.500808946938
335,642748.2990137219,291.4539135370169,292.466556890988
340,642653.5097037031,291.4554841636989,292.4334729754864
345,642560.1941129761,291.457031278991,292.4015087434989
350,642468.4012574258,291.4585552759401,292.3706157380917
355,642377.9807451285,291.4600564109714,292.3407812325138
360,642288.6243501992,291.4615348323827,292.3120207781819
365,642200.5999047986,291.4629910831276,292.2842467136362
370,642113.9075802133,291.464425522777,292.2574193368672
375,642028.5475537175,291.4658385109017,292.2314989458657
380,641944.5200084515,291.4672304070724,292.2064458386222
385,641860.7347572537,291.4686144177124,292.181251871729
390,641777.8841756767,291.4699818856005,292.156586960407
395,641696.2128376279,291.4713298595906,292.1326759441898
400,641615.7206388783,291.4726583396828,292.1095188230774
405,641536.4074767045,291.4739673258769,292.0871155970698
410,641458.2732498918,291.475256818173,292.0654662661669
415,641381.3178587415,291.4765268165711,292.0445708303689
420,641305.5412050619,291.4777773210712,292.0244292896755
425,641230.9431921632,291.4790083316734,292.005041644087
430,641157.5237248818,291.4802198483775,291.9864078936033
435,641085.282709558,291.4814118711836,291.9685280382243
440,641014.2200540339,291.4825844000918,291.9514020779501
445,640944.3356676652,291.4837374351019,291.9350300127807
450,640875.6294613297,291.4848709762141,291.919411842716
455,640808.1013473994,291.4859850234283,291.9045475677561
460,640741.7512397661,291.4870795767444,291.8904371879011
465,640676.5790538266,291.4881546361626,291.8770807031507
470,640610.8683367611,291.4892384730292,291.8624242128236
475,640546.0401510869,291.4903076802374,291.8481682327669
480,640482.1860708401,291.4913607483244,291.8344224247805
485,640419.3060286033,291.4923976772902,291.8211867888645
490,640357.3999579982,291.4934184671348,291.8084613250186
495,640296.4677936768,291.4944231178582,291.7962460332432
500,640236.509471337,291.4954116294604,291.784540913538
505,640177.5249277049,291.4963840019414,291.7733459659032
510,640119.5141005465,291.4973402353011,291.7626611903386
515,640062.4769286583,291.4982803295397,291.7524865868444
520,640006.4133518864,291.4992042846571,291.7428221554205
525,639951.3233110973,291.5001121006533,291.7336678960669
530,639897.2067482019,291.5010037775282,291.7250238087836
535,639844.0636061564,291.5018793152819,291.7168898935706
540,639791.8938289344,291.5027387139145,291.7092661504279
545,639740.6973615588,291.5035819734259,291.7021525793555
550,639690.3331464019,291.5044114737562,291.6954037594297
